Rating Date,Team,Division,Recent Form
31/10/2022 (v6.0),New York Islanders,MET,0.5603767192472409
31/10/2022 (v6.0),New York Rangers,MET,0.7509306606382239
31/10/2022 (v6.0),Ottawa Senators,ATL,0.2592370284836526
31/10/2022 (v6.0),Philadelphia Flyers,MET,0.662205126763363
31/10/2022 (v6.0),Pittsburgh Penguins,MET,0.3498968974568872
31/10/2022 (v6.0),San Jose Sharks,PAC,0.08765841402238127
31/10/2022 (v6.0),Seattle Kraken,PAC,0.4528785081630707
31/10/2022 (v6.0),St. Louis Blues,CEN,0.08765841402238127
31/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.5603767192472409
31/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.4528785081630707
31/10/2022 (v6.0),Vancouver Canucks,PAC,0.058728585704451046
31/10/2022 (v6.0),Vegas Golden Knights,PAC,0.9840242410049966
31/10/2022 (v6.0),Washington Capitals,MET,0.662205126763363
31/10/2022 (v6.0),Winnipeg Jets,CEN,0.662205126763363
13/11/2022 (v6.2),Anaheim Ducks,PAC,0.09693607099101388
13/11/2022 (v6.2),Arizona Coyotes,CEN,0.5127321475798113
13/11/2022 (v6.2),Boston Bruins,ATL,0.9743905005895174
13/11/2022 (v6.2),Buffalo Sabres,ATL,0.09693607099101388
13/11/2022 (v6.2),Calgary Flames,CEN,0.1707804549581868
13/11/2022 (v6.2),Carolina Hurricanes,MET,0.6689751736895785
13/11/2022 (v6.2),Chicago Blackhawks,CEN,0.4314698774078638
13/11/2022 (v6.2),Colorado Avalanche,CEN,0.7367939993885657
13/11/2022 (v6.2),Columbus Blue Jackets,MET,0.12943947613877374
13/11/2022 (v6.2),Dallas Stars,CEN,0.4317099063332375
13/11/2022 (v6.2),Detroit Red Wings,ATL,0.2834337822209092
13/11/2022 (v6.2),Edmonton Oilers,PAC,0.6689751736895785
13/11/2022 (v6.2),Florida Panthers,ATL,0.4317099063332375
13/11/2022 (v6.2),Los Angeles Kings,PAC,0.8816139203669268
13/11/2022 (v6.2),Minnesota Wild,CEN,0.7367939993885657
13/11/2022 (v6.2),Montréal Canadiens,ATL,0.5127321475798113
13/11/2022 (v6.2),Nashville Predators,CEN,0.2221277039216012
13/11/2022 (v6.2),New Jersey Devils,MET,0.9743905005895174
13/11/2022 (v6.2),New York Islanders,MET,0.934650144547487
13/11/2022 (v6.2),New York Rangers,MET,0.3539607181701094
13/11/2022 (v6.2),Ottawa Senators,ATL,0.12943947613877374
13/11/2022 (v6.2),Philadelphia Flyers,MET,0.3539607181701094
13/11/2022 (v6.2),Pittsburgh Penguins,MET,0.07185499479015434
13/11/2022 (v6.2),San Jose Sharks,PAC,0.2219586896140581
13/11/2022 (v6.2),Seattle Kraken,PAC,0.8431672404447547
13/11/2022 (v6.2),St. Louis Blues,CEN,0.03878466995545267
13/11/2022 (v6.2),Tampa Bay Lightning,ATL,0.7367939993885657
13/11/2022 (v6.2),Toronto Maple Leafs,ATL,0.4314698774078638
13/11/2022 (v6.2),Vancouver Canucks,PAC,0.2834337822209092
13/11/2022 (v6.2),Vegas Golden Knights,PAC,0.9743905005895174
13/11/2022 (v6.2),Washington Capitals,MET,0.3539607181701094
13/11/2022 (v6.2),Winnipeg Jets,CEN,0.7367939993885657
27/11/2022 (v6.2),Anaheim Ducks,PAC,0.09579747197918917
27/11/2022 (v6.2),Arizona Coyotes,CEN,0.3339563069881187
27/11/2022 (v6.2),Boston Bruins,ATL,0.918374604664284
27/11/2022 (v6.2),Buffalo Sabres,ATL,0.04000692610260542
27/11/2022 (v6.2),Calgary Flames,CEN,0.26873446122836203
27/11/2022 (v6.2),Carolina Hurricanes,MET,0.26855114005342007
27/11/2022 (v6.2),Chicago Blackhawks,CEN,0.07199383315377403
27/11/2022 (v6.2),Colorado Avalanche,CEN,0.918374604664284
27/11/2022 (v6.2),Columbus Blue Jackets,MET,0.26873446122836203
27/11/2022 (v6.2),Dallas Stars,CEN,0.40621437304852825
27/11/2022 (v6.2),Detroit Red Wings,ATL,0.7641859718947103
27/11/2022 (v6.2),Edmonton Oilers,PAC,0.2121923692675673
27/11/2022 (v6.2),Florida Panthers,ATL,0.3339563069881187
27/11/2022 (v6.2),Los Angeles Kings,PAC,0.7037167310325143
27/11/2022 (v6.2),Minnesota Wild,CEN,0.26873446122836203
27/11/2022 (v6.2),Montréal Canadiens,ATL,0.6351447290519732
27/11/2022 (v6.2),Nashville Predators,CEN,0.7037167310325143
27/11/2022 (v6.2),New Jersey Devils,MET,0.9662199577596163
27/11/2022 (v6.2),New York Islanders,MET,0.8156889898450562
27/11/2022 (v6.2),New York Rangers,MET,0.3339563069881187
27/11/2022 (v6.2),Ottawa Senators,ATL,0.12629644083245709
27/11/2022 (v6.2),Philadelphia Flyers,MET,0.016113344268642246
27/11/2022 (v6.2),Pittsburgh Penguins,MET,0.8579194814249577
27/11/2022 (v6.2),San Jose Sharks,PAC,0.26873446122836203
27/11/2022 (v6.2),Seattle Kraken,PAC,0.9388412078253237
27/11/2022 (v6.2),St. Louis Blues,CEN,0.918374604664284
27/11/2022 (v6.2),Tampa Bay Lightning,ATL,0.7037167310325143
27/11/2022 (v6.2),Toronto Maple Leafs,ATL,0.8155486723934643
27/11/2022 (v6.2),Vancouver Canucks,PAC,0.48300742527405394
27/11/2022 (v6.2),Vegas Golden Knights,PAC,0.48300742527405394
27/11/2022 (v6.2),Washington Capitals,MET,0.26873446122836203
27/11/2022 (v6.2),Winnipeg Jets,CEN,0.8156889898450562
04/12/2022 (v6.2),Anaheim Ducks,PAC,0.057225339339510815
04/12/2022 (v6.2),Arizona Coyotes,CEN,0.07806824842424584
04/12/2022 (v6.2),Boston Bruins,ATL,0.9715592711526712
04/12/2022 (v6.2),Buffalo Sabres,ATL,0.10574643837740993
04/12/2022 (v6.2),Calgary Flames,CEN,0.46622918720303946
04/12/2022 (v6.2),Carolina Hurricanes,MET,0.703399510596946
04/12/2022 (v6.2),Chicago Blackhawks,CEN,0.04169546587823243
04/12/2022 (v6.2),Colorado Avalanche,CEN,0.6298552880629767
04/12/2022 (v6.2),Columbus Blue Jackets,MET,0.5492531313909371
04/12/2022 (v6.2),Dallas Stars,CEN,0.8220683741223251
04/12/2022 (v6.2),Detroit Red Wings,ATL,0.30956056425518236
04/12/2022 (v6.2),Edmonton Oilers,PAC,0.6298552880629767
04/12/2022 (v6.2),Florida Panthers,ATL,0.3847980876615216
04/12/2022 (v6.2),Los Angeles Kings,PAC,0.18708556542465263
04/12/2022 (v6.2),Minnesota Wild,CEN,0.703608060922502
04/12/2022 (v6.2),Montréal Canadiens,ATL,0.38503480270889023
04/12/2022 (v6.2),Nashville Predators,CEN,0.8658051193386206
04/12/2022 (v6.2),New Jersey Devils,MET,0.9460478072857925
04/12/2022 (v6.2),New York Islanders,MET,0.6298552880629767
04/12/2022 (v6.2),New York Rangers,MET,0.30956056425518236
04/12/2022 (v6.2),Ottawa Senators,ATL,0.38503480270889023
04/12/2022 (v6.2),Philadelphia Flyers,MET,0.030215589981939912
04/12/2022 (v6.2),Pittsburgh Penguins,MET,0.8658051193386206
04/12/2022 (v6.2),San Jose Sharks,PAC,0.10574643837740993
04/12/2022 (v6.2),Seattle Kraken,PAC,0.8658051193386206
04/12/2022 (v6.2),St. Louis Blues,CEN,0.38503480270889023
04/12/2022 (v6.2),Tampa Bay Lightning,ATL,0.9263038699752297
04/12/2022 (v6.2),Toronto Maple Leafs,ATL,0.9262355876081219
04/12/2022 (v6.2),Vancouver Canucks,PAC,0.6298552880629767
04/12/2022 (v6.2),Vegas Golden Knights,PAC,0.46622918720303946
04/12/2022 (v6.2),Washington Capitals,MET,0.14160747671492335
04/12/2022 (v6.2),Winnipeg Jets,CEN,0.6298552880629767
